symbol,entry_time,exit_time,side,entry_price,exit_price,equity_before,equity_after,risk_amount_usd,position_size,intended_risk_pct,gross_pnl_usd,spread_cost_usd,slippage_cost_usd,commission_cost_usd,pnl,r_multiple,exit_reason
EURUSD,2023-01-09 13:30:00,2023-01-09 14:00:00,1,1.1012929182729343,1.1014600563275005,100000.0,100334.68320201276,500.0,49.85,0.005,833.1832020127639,99.7,49.85,348.95,334.6832020127639,0.6694870171901145,target
EURUSD,2023-01-09 13:45:00,2023-01-09 14:30:00,1,1.1013707713070096,1.101542024236719,100334.68320201276,100682.54000485475,501.6734160100638,48.82,0.005,836.056802841985,97.64,48.82,341.74,347.856802841985,0.6934473065690118,target
EURUSD,2023-01-09 14:15:00,2023-01-09 14:45:00,1,1.1014668582426737,1.1016360185449963,100682.54000485475,101025.50594407259,503.41270002427376,49.59,0.005,838.8659392178375,99.18,49.59,347.13,342.96593921783756,0.6814079246427235,target
EURUSD,2023-01-09 14:45:00,2023-01-09 15:30:00,1,1.1015502230413448,1.101718907669484,101025.50594407259,101368.24223848738,505.12752972036293,49.9,0.005,841.7362944147943,99.8,49.9,349.3,342.7362944147943,0.6786295911784109,target
EURUSD,2023-01-09 15:00:00,2023-01-09 16:00:00,1,1.1016119338466408,1.1017879202192276,101368.24223848738,101732.9768269038,506.8412111924369,48.0,0.005,844.7345884164292,96.0,48.0,336.0,364.73458841642923,0.7196236415915382,target
EURUSD,2023-01-09 15:45:00,2023-01-09 16:30:00,1,1.1017192040846735,1.1018840855637417,101732.9768269038,102066.5325107936,508.664884134519,51.41,0.005,847.6556838897968,102.82,51.41,359.87,333.5556838897968,0.6558395706915984,target
EURUSD,2023-01-09 16:00:00,2023-01-09 16:30:00,1,1.1017386941973555,1.101905785064005,102066.5325107936,102408.02502203989,510.33266255396796,50.9,0.005,850.4925112462925,101.8,50.9,356.3,341.49251124629245,0.6692054049676014,target
EURUSD,2023-01-09 16:15:00,2023-01-23 07:15:00,1,1.1018053947502686,1.1019800937773454,102408.02502203989,102772.85507028291,512.0401251101995,48.84,0.005,853.2300482430211,97.68,48.84,341.88,364.8300482430211,0.7126449445341703,target
EURUSD,2023-01-09 16:30:00,2023-01-23 07:30:00,1,1.1018564353167888,1.1020296862088865,102772.85507028291,103134.93422992204,513.8642753514146,49.43,0.005,856.3791596391421,98.86,49.43,346.01,362.0791596391422,0.7046706581688246,target
EURUSD,2023-01-09 16:45:00,2023-01-23 07:30:00,1,1.101909715139258,1.1020851065770305,103134.93422992204,103504.35227500707,515.6746711496103,49.0,0.005,859.4180450850253,98.0,49.0,343.0,369.41804508502526,0.7164112335422776,target
