train_start,train_end,validation_start,validation_end,test_start,test_end,selected_parameters,train_return,train_profit_factor,train_trades,validation_return,validation_profit_factor,validation_trades,test_return,test_profit_factor,test_trades,passed
2018-01-01,2019-12-31,2020-01-01,2020-06-30,2020-07-01,2020-12-31,"{'range_lookback': 18, 'breakout_buffer_atr': 0.2, 'stop_atr': 1.2, 'target_atr': 2.0, 'timeout_bars': 18, 'direction': 'both'}",247010.02870830984,11.720354200019619,479,32924.737625706366,9.056885442051046,98,41815.284662174716,20.016553758372428,115,True
2018-04-01,2020-03-31,2020-04-01,2020-09-30,2020-10-01,2021-03-31,"{'range_lookback': 18, 'breakout_buffer_atr': 0.2, 'stop_atr': 1.2, 'target_atr': 2.0, 'timeout_bars': 18, 'direction': 'both'}",230882.1155502786,11.352400553721047,456,37411.730380267836,13.314535856746556,110,42836.635691880285,15.11121117348505,118,True
2018-07-01,2020-06-30,2020-07-01,2020-12-31,2021-01-01,2021-06-30,"{'range_lookback': 18, 'breakout_buffer_atr': 0.2, 'stop_atr': 1.2, 'target_atr': 2.0, 'timeout_bars': 18, 'direction': 'both'}",230785.84778497738,10.184481695120853,465,41815.284662174716,20.016553758372428,115,41057.10224006773,9.62624620882014,122,True
2018-10-01,2020-09-30,2020-10-01,2021-03-31,2021-04-01,2021-09-30,"{'range_lookback': 18, 'breakout_buffer_atr': 0.2, 'stop_atr': 1.2, 'target_atr': 2.0, 'timeout_bars': 18, 'direction': 'both'}",237403.98973254306,11.891324448765213,462,42836.635691880285,15.11121117348505,118,39017.014688231095,9.98839042595295,119,True
2019-01-01,2020-12-31,2021-01-01,2021-06-30,2021-07-01,2021-12-31,"{'range_lookback': 18, 'breakout_buffer_atr': 0.2, 'stop_atr': 1.2, 'target_atr': 2.0, 'timeout_bars': 18, 'direction': 'both'}",232685.3024616781,12.357072039471342,454,41057.10224006773,9.62624620882014,122,32601.58647158634,5.476763181494175,113,True
2019-04-01,2021-03-31,2021-04-01,2021-09-30,2021-10-01,2022-03-31,"{'range_lookback': 18, 'breakout_buffer_atr': 0.2, 'stop_atr': 1.2, 'target_atr': 2.0, 'timeout_bars': 18, 'direction': 'both'}",235641.8508717675,14.38575265594001,454,39017.014688231095,9.98839042595295,119,36022.409117406016,5.435477684688071,119,True
2019-07-01,2021-06-30,2021-07-01,2021-12-31,2022-01-01,2022-06-30,"{'range_lookback': 18, 'breakout_buffer_atr': 0.2, 'stop_atr': 1.2, 'target_atr': 2.0, 'timeout_bars': 18, 'direction': 'both'}",240291.61259010705,14.413689004608,463,32601.58647158634,5.476763181494175,113,43137.799977981675,8.176963848368455,128,True
2019-10-01,2021-09-30,2021-10-01,2022-03-31,2022-04-01,2022-09-30,"{'range_lookback': 18, 'breakout_buffer_atr': 0.2, 'stop_atr': 1.2, 'target_atr': 2.0, 'timeout_bars': 18, 'direction': 'both'}",240536.37909690314,15.06154628180109,469,36022.409117406016,5.435477684688071,119,39118.887844333556,7.999665849433697,122,True
2020-01-01,2021-12-31,2022-01-01,2022-06-30,2022-07-01,2022-12-31,"{'range_lookback': 18, 'breakout_buffer_atr': 0.2, 'stop_atr': 1.2, 'target_atr': 2.0, 'timeout_bars': 18, 'direction': 'both'}",236649.18335594417,12.388657680591798,465,43137.799977981675,8.176963848368455,128,38960.78022202263,10.700238346753682,122,True
2020-04-01,2022-03-31,2022-04-01,2022-09-30,2022-10-01,2023-03-31,"{'range_lookback': 18, 'breakout_buffer_atr': 0.2, 'stop_atr': 1.2, 'target_atr': 2.0, 'timeout_bars': 18, 'direction': 'both'}",242024.82568792396,11.429895723368443,482,39118.887844333556,7.999665849433697,122,43877.27206751459,15.964733746568022,125,True
2020-07-01,2022-06-30,2022-07-01,2022-12-31,2023-01-01,2023-06-30,"{'range_lookback': 18, 'breakout_buffer_atr': 0.2, 'stop_atr': 1.2, 'target_atr': 2.0, 'timeout_bars': 18, 'direction': 'both'}",247953.64658014683,11.359073648796196,488,38960.78022202263,10.700238346753682,122,36816.73819727997,12.346952502855839,106,True
2020-10-01,2022-09-30,2022-10-01,2023-03-31,2023-04-01,2023-09-30,"{'range_lookback': 18, 'breakout_buffer_atr': 0.2, 'stop_atr': 1.2, 'target_atr': 2.0, 'timeout_bars': 18, 'direction': 'both'}",244733.53596526472,10.015814414368927,495,43877.27206751459,15.964733746568022,125,34094.73790105283,12.344083670719753,105,True
2021-01-01,2022-12-31,2023-01-01,2023-06-30,2023-07-01,2023-12-31,"{'range_lookback': 18, 'breakout_buffer_atr': 0.2, 'stop_atr': 1.2, 'target_atr': 2.0, 'timeout_bars': 18, 'direction': 'both'}",243470.6585989656,9.922961098496113,503,36816.73819727997,12.346952502855839,106,39729.55263999509,23.32755251656278,119,True
2021-04-01,2023-03-31,2023-04-01,2023-09-30,2023-10-01,2024-03-31,"{'range_lookback': 18, 'breakout_buffer_atr': 0.2, 'stop_atr': 1.2, 'target_atr': 2.0, 'timeout_bars': 18, 'direction': 'both'}",242908.26469893928,10.501404169250725,502,34094.73790105283,12.344083670719753,105,42694.48351186389,39.22306814824681,115,True
2021-07-01,2023-06-30,2023-07-01,2023-12-31,2024-01-01,2024-06-30,"{'range_lookback': 18, 'breakout_buffer_atr': 0.2, 'stop_atr': 1.2, 'target_atr': 2.0, 'timeout_bars': 18, 'direction': 'both'}",235240.97725415532,10.219725025858107,490,39729.55263999509,23.32755251656278,119,41419.50139698612,33.37351638524758,101,True
2021-10-01,2023-09-30,2023-10-01,2024-03-31,2024-04-01,2024-09-30,"{'range_lookback': 18, 'breakout_buffer_atr': 0.2, 'stop_atr': 1.2, 'target_atr': 2.0, 'timeout_bars': 18, 'direction': 'both'}",236228.46039667714,11.089985328982205,489,42694.48351186389,39.22306814824681,115,40136.18961422181,32.258193346507234,105,True
2022-01-01,2023-12-31,2024-01-01,2024-06-30,2024-07-01,2024-12-31,"{'range_lookback': 18, 'breakout_buffer_atr': 0.2, 'stop_atr': 1.2, 'target_atr': 2.0, 'timeout_bars': 18, 'direction': 'both'}",243309.02369716222,13.875501775798424,493,41419.50139698612,33.37351638524758,101,47043.026221857996,8.838645745425664,131,True
